Function,BestFound,TrueValue,Error
Ackley,tensor(0.0010),0.0,tensor(0.0010)
Sphere,tensor(1.1055e-07),0.0,tensor(1.1055e-07)
Rastrigin,15.45992660522461,0.0,15.45992660522461
Alpine,0.7216989994049072,0.0,0.7216989994049072
Griewank,0.38451963663101196,0.0,0.38451963663101196
Michalewicz,-0.5653625130653381,-4.687658,4.122295486934662
Plateau,45.0,0.0,45.0
Quintic,48538.28515625,0.0,48538.28515625
Rosenbrock,809417.5,0.0,809417.5
Vincent,-1.320007085800171,-5.0,3.679992914199829
XinSheYang,-0.32292747497558594,-1.0,0.6770725250244141
Bohachevsky,tensor([0.0186]),0.0,tensor([0.0186])
Eggholder,-861.2459716796875,-959.6407,98.39472832031254
